"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"1",1972,1,"HB",1.22,NA
"2",1972,1,"LTB",3.25,NA
"3",1972,1,"OTB",1.3,NA
"4",1972,2,"LTB",1.88571428571429,NA
"5",1972,3,"HB",1.03333333333333,NA
"6",1972,3,"LTB",2.7625,NA
"7",1972,3,"OTB",1.84615384615385,NA
"8",1972,4,"HB",0.922222222222222,NA
"9",1972,4,"LTB",2.6,NA
"10",1972,4,"OTB",1.4625,NA
"11",1972,5,"HB",1.11428571428571,NA
"12",1972,5,"LTB",3.125,NA
"13",1972,5,"OTB",1.81,NA
"14",1972,6,"HB",1.4875,NA
"15",1972,6,"LTB",3.6625,NA
"16",1972,7,"HB",1.1,NA
"17",1972,7,"LTB",3,NA
"18",1972,7,"OTB",1.6875,NA
"19",1972,8,"HB",1.1125,NA
"20",1972,8,"LTB",2.475,NA
"21",1972,8,"OTB",1.33571428571429,NA
"22",1972,9,"HB",1.05,NA
"23",1972,9,"LTB",2.85714285714286,NA
"24",1972,9,"OTB",1.29285714285714,NA
"25",1972,10,"HB",1.16666666666667,NA
"26",1972,10,"LTB",4.425,NA
"27",1972,10,"OTB",1.3,NA
"28",1972,11,"HB",1.1,NA
"29",1972,11,"LTB",3.08571428571429,NA
"30",1972,11,"OTB",1.53333333333333,NA
"31",1972,12,"HB",1.16666666666667,NA
"32",1972,12,"LTB",2.9375,NA
"33",1972,12,"OTB",1.94166666666667,NA
"34",1974,1,"HB",0.788888888888889,NA
"35",1974,1,"LTB",4.35714285714286,NA
"36",1974,1,"OTB",2.14,NA
"37",1974,2,"HB",0.611111111111111,NA
"38",1974,2,"LTB",2.35714285714286,NA
"39",1974,2,"OTB",1.88571428571429,NA
"40",1974,3,"HB",1.48333333333333,NA
"41",1974,3,"LTB",2.25,NA
"42",1974,4,"HB",1.13333333333333,NA
"43",1974,4,"LTB",2.65714285714286,NA
"44",1974,4,"OTB",2.11,NA
"45",1974,5,"HB",1.5,NA
"46",1974,5,"LTB",2.5375,NA
"47",1974,5,"OTB",1.872,NA
"48",1974,6,"HB",1.0875,NA
"49",1974,6,"LTB",2.77142857142857,NA
"50",1974,6,"OTB",2.15454545454545,NA
"51",1974,7,"HB",0.726315789473684,NA
"52",1974,7,"LTB",3.13333333333333,NA
"53",1974,7,"OTB",1.45714285714286,NA
"54",1974,8,"HB",0.99,NA
"55",1974,8,"LTB",2.67142857142857,NA
"56",1974,8,"OTB",1.43076923076923,NA
"57",1974,9,"HB",1.03333333333333,NA
"58",1974,9,"LTB",3.91666666666667,NA
"59",1974,9,"OTB",1.325,NA
"60",1974,10,"HB",1.13333333333333,NA
"61",1974,10,"OTB",1.44,NA
"62",1974,11,"LTB",3.05714285714286,NA
"63",1974,11,"OTB",1.66153846153846,NA
"64",1974,12,"HB",1.05,NA
"65",1974,12,"LTB",4.04,NA
"66",1975,1,"HB",1.0125,NA
"67",1975,1,"LTB",2.72857142857143,NA
"68",1975,1,"OTB",1.6,NA
"69",1975,2,"HB",0.6,NA
"70",1975,2,"LTB",3.675,NA
"71",1975,2,"OTB",1.52142857142857,NA
"72",1975,3,"HB",0.833333333333333,NA
"73",1975,3,"LTB",3.15,NA
"74",1975,3,"OTB",1.24615384615385,NA
"75",1975,4,"HB",1.13684210526316,NA
"76",1975,4,"LTB",4.4,NA
"77",1975,4,"OTB",1.09285714285714,NA
"78",1975,5,"HB",1.1,NA
"79",1975,5,"LTB",5.06,NA
"80",1975,5,"OTB",2.45454545454545,NA
"81",1975,6,"HB",1.02857142857143,NA
"82",1975,6,"LTB",4.92857142857143,NA
"83",1975,6,"OTB",1.59230769230769,NA
"84",1975,7,"HB",0.84,NA
"85",1975,7,"LTB",3.125,NA
"86",1975,7,"OTB",1.65,NA
"87",1975,8,"HB",0.6,NA
"88",1975,8,"LTB",3.1,NA
"89",1975,8,"OTB",1.54285714285714,NA
"90",1975,9,"HB",0.6,NA
